Datetimecombined,original_Latitude,original_Longitude,Date,Time,datetime,Latitude,Longitude
06-12-2025 12:54:16,13.0173361666666,80.2409296666666,2025-12-06,12:54:16,2025-12-06 12:54:16,13.017322299721236,80.24099895593287
06-12-2025 12:54:17,13.0175606666666,80.2409223333333,2025-12-06,12:54:17,2025-12-06 12:54:17,13.017473826065112,80.24103049705838
06-12-2025 12:54:18,13.0170511666666,80.2409463333333,2025-12-06,12:54:18,2025-12-06 12:54:18,13.01705139519911,80.24094512000349
06-12-2025 12:54:19,13.0170025,80.240907,2025-12-06,12:54:19,2025-12-06 12:54:19,13.016997315510055,80.24093452561472
06-12-2025 12:54:20,13.017036,80.2410635,2025-12-06,12:54:20,2025-12-06 12:54:20,13.01705805147236,80.24094642398957
06-12-2025 12:54:21,13.016997,80.2410263333333,2025-12-06,12:54:21,2025-12-06 12:54:21,13.017013688016167,80.24093773304203
06-12-2025 12:54:22,13.0171381666666,80.2409656666666,2025-12-06,12:54:22,2025-12-06 12:54:22,13.017174614337577,80.24080959957976
06-12-2025 12:54:23,13.0175103333333,80.2409411666666,2025-12-06,12:54:23,2025-12-06 12:54:23,13.017508696768097,80.24088999377894
06-12-2025 12:54:24,13.0177013333333,80.2410345,2025-12-06,12:54:24,2025-12-06 12:54:24,13.017722564757472,80.24093993735583
06-12-2025 12:54:25,13.017682,80.2411475,2025-12-06,12:54:25,2025-12-06 12:54:25,13.017728301698279,80.24094127707747
06-12-2025 12:54:26,13.0176543333333,80.2406631666666,2025-12-06,12:54:26,2025-12-06 12:54:26,13.01759868740697,80.24091100885643
06-12-2025 12:54:27,13.0177801666666,80.2405001666666,2025-12-06,12:54:27,2025-12-06 12:54:27,13.017730883629637,80.24094188002415
06-12-2025 12:54:28,13.0182466666666,80.2403191666666,2025-12-06,12:54:28,2025-12-06 12:54:28,13.018330937656113,80.24070423176693
06-12-2025 12:54:29,13.0179856666666,80.240702,2025-12-06,12:54:29,2025-12-06 12:54:29,13.018313683687314,80.24074993081283
06-12-2025 12:54:30,13.0178991666666,80.2406831666666,2025-12-06,12:54:30,2025-12-06 12:54:30,13.018313683687314,80.24074993081283
06-12-2025 12:54:31,13.0185831666666,80.2415763333333,2025-12-06,12:54:31,2025-12-06 12:54:31,13.018458533495233,80.24115683217646
06-12-2025 12:54:32,13.0183273333333,80.2413198333333,2025-12-06,12:54:32,2025-12-06 12:54:32,13.018387760860087,80.24113302145042
06-12-2025 12:54:33,13.018104,80.241223,2025-12-06,12:54:33,2025-12-06 12:54:33,13.018253096268612,80.24108771496823
06-12-2025 12:54:34,13.0181831666666,80.2411658333333,2025-12-06,12:54:34,2025-12-06 12:54:34,13.018253096268612,80.24108771496823
06-12-2025 12:54:35,13.0183445,80.2411746666666,2025-12-06,12:54:35,2025-12-06 12:54:35,13.018360894624424,80.24112398258487
06-12-2025 12:54:36,13.0183178333333,80.2411666666666,2025-12-06,12:54:36,2025-12-06 12:54:36,13.018334511428282,80.24111510623477
06-12-2025 12:54:37,13.0183185,80.2411358333333,2025-12-06,12:54:37,2025-12-06 12:54:37,13.018326117965344,80.24111228234243
06-12-2025 12:54:38,13.0183128333333,80.2411298333333,2025-12-06,12:54:38,2025-12-06 12:54:38,13.018319257140398,80.24110997409015
06-12-2025 12:54:39,13.0183355,80.2411516666666,2025-12-06,12:54:39,2025-12-06 12:54:39,13.018346068380303,80.24111899445003
06-12-2025 12:54:40,13.0184968333333,80.2410805,2025-12-06,12:54:40,2025-12-06 12:54:40,13.0184741014213,80.24116138297497
06-12-2025 12:54:41,13.018516,80.241134,2025-12-06,12:54:41,2025-12-06 12:54:41,13.018505707488345,80.24117062202629
06-12-2025 12:54:42,13.018741,80.240826,2025-12-06,12:54:42,2025-12-06 12:54:42,13.018633635346864,80.24120801778214
06-12-2025 12:54:43,13.0189586666666,80.2407636666666,2025-12-06,12:54:43,2025-12-06 12:54:43,13.018717418994996,80.24123250936198
